ep,vl,vr,e,delta_e
0.03,1.94,1.97,-0.06,-0.09
-0.06,1.95,1.98,0.08,0.14
0.08,1.96,1.94,0.21,0.13
0.21,1.97,1.87,0.23,0.02
0.23,1.92,1.86,0.11,-0.12
0.11,1.89,1.91,-0.03,-0.14
-0.03,1.83,1.91,-0.06,-0.03
-0.06,1.85,1.9,-0.01,0.05
-0.01,1.9,1.9,-0.04,-0.03
-0.04,1.9,1.92,0.03,0.07
0.03,1.94,1.92,0.06,0.03
0.06,1.95,1.91,0.06,0
0.06,1.94,1.93,0.02,-0.04
0.02,1.95,1.97,-0.09,-0.11
-0.09,1.94,1.99,-0.14,-0.05
-0.07,0.18,0.12,0.09,0.16
0.09,0.5,0.38,0.18,0.09
0.18,0.76,0.6,0.09,-0.09
0.09,0.97,0.86,0.03,-0.06
0.03,1.18,1.09,-0.06,-0.09
-0.06,1.34,1.29,-0.05,0.01
-0.05,1.49,1.43,0,0.05
0,1.59,1.49,0.02,0.02
0.02,1.7,1.57,0,-0.02
0,1.76,1.66,-0.06,-0.06
-0.06,1.81,1.72,-0.04,0.02
-0.04,1.84,1.74,0.08,0.12
0.08,1.86,1.75,0.12,0.04
0.12,1.84,1.78,0.05,-0.07
0.05,1.88,1.82,0.04,-0.01
0.04,1.88,1.86,0,-0.04
0,1.9,1.89,-0.09,-0.09
-0.09,1.9,1.91,-0.06,0.03
-0.06,1.94,1.93,0.08,0.14
0.08,1.95,1.92,0.14,0.06
0.14,1.96,1.94,0.13,-0.01
0.13,1.95,1.95,-0.01,-0.14
-0.01,1.96,1.96,-0.04,-0.03
-0.04,1.99,1.99,0.05,0.09
0.05,2.03,1.95,0.1,0.05
0.1,2.02,1.94,0.13,0.03
0.13,1.96,1.93,0.11,-0.02
0.11,1.95,1.95,-0.01,-0.12
-0.01,1.94,2,0,0.01
0,1.97,1.98,0.09,0.09
0.09,2,1.98,0.17,0.08
0.17,2.04,1.97,0.19,0.02
0.19,2.03,1.97,0.17,-0.02
0.17,2.04,2.02,0.1,-0.07
0.1,2.02,2.03,0.05,-0.05
0.05,1.97,2.03,-0.02,-0.07
-0.02,2,2.06,-0.02,0
-0.02,2.04,2.07,0.11,0.13
0.11,2.07,2.06,0.09,-0.02
0.09,2.08,2.04,0.12,0.03
0.12,2.04,2.04,0.09,-0.03
0.09,2.01,2.03,0.08,-0.01
0.08,2.01,2,0.16,0.08
0.16,1.99,1.94,0.16,0
0.16,1.97,1.95,0.11,-0.05
0.11,1.96,1.96,0.03,-0.08
0.03,1.91,1.95,-0.08,-0.11
-0.08,1.9,1.94,-0.06,0.02
-0.06,1.86,1.89,0.05,0.11
0.05,1.89,1.89,0.05,0
0.05,1.95,1.92,0.21,0.16
0.21,2,1.93,0.22,0.01
0.22,1.96,1.93,-0.02,-0.24
-0.02,1.93,1.96,-0.16,-0.14
-0.16,1.92,1.99,-0.13,0.03
-0.13,1.94,1.95,0.06,0.19
0.06,1.97,1.92,0.14,0.08
0.14,2.04,1.96,0.1,-0.04
0.1,2.01,1.97,0.01,-0.09
0.01,1.97,1.93,-0.09,-0.1
-0.09,1.99,1.99,-0.03,0.06
-0.03,2,1.97,0.1,0.13
0.1,2.02,1.91,0.17,0.07
0.17,1.99,1.87,0.15,-0.02
0.15,1.99,1.92,0.06,-0.09
0.06,1.96,1.93,-0.01,-0.07
-0.01,1.94,1.95,0.06,0.07
0.06,1.98,1.96,0.12,0.06
0.12,1.96,1.93,0.16,0.04
0.16,1.97,1.92,0.14,-0.02
0.14,1.95,1.92,0.11,-0.03
0.11,1.92,1.93,0.07,-0.04
0.07,1.92,1.95,0.03,-0.04
0.03,1.88,1.92,0.04,0.01
0.04,1.88,1.91,0.05,0.01
0.05,1.9,1.93,0.02,-0.03
0.02,1.9,1.92,0,-0.02
0,1.9,1.92,-0.05,-0.05
-0.05,1.94,1.96,-0.03,0.02
-0.03,1.93,1.92,0.13,0.16
0.13,1.97,1.92,0.11,-0.02
0.11,1.95,1.94,-0.03,-0.14
-0.03,1.94,1.97,-0.16,-0.13
0.83,0.02,0.1,0.32,-0.51
0.32,0.04,0.4,-0.46,-0.78
-0.46,0.15,0.72,-0.74,-0.28
-0.74,0.46,0.92,-0.47,0.27
-0.47,0.91,0.97,0.38,0.85
0.38,1.31,1,0.63,0.25
0.63,1.44,1.16,0.11,-0.52
0.11,1.42,1.45,-0.58,-0.69
-0.58,1.43,1.64,-0.6,-0.02
-0.6,1.61,1.63,0.15,0.75
0.15,1.86,1.56,0.56,0.41
0.56,1.93,1.59,0.18,-0.38
0.18,1.87,1.77,-0.41,-0.59
-0.41,1.77,1.92,-0.48,-0.07
-0.48,1.84,1.87,-0.01,0.47
-0.01,1.99,1.8,0.54,0.55
0.54,2.11,1.78,0.44,-0.1
0.44,2.01,1.84,-0.14,-0.58
-0.14,1.87,1.98,-0.53,-0.39
-0.53,1.87,2.04,-0.13,0.4
-0.13,2.06,1.95,0.51,0.64
0.51,2.17,1.86,0.53,0.02
0.53,2.09,1.91,-0.35,-0.88
-0.35,1.92,2.09,-0.49,-0.14
-0.49,1.93,2.07,0.23,0.72
0.23,2.11,1.94,0.66,0.43
0.66,2.1,1.89,0.26,-0.4
0.26,2,2.03,-0.49,-0.75
-0.49,1.92,2.16,-0.36,0.13
-0.36,2.02,2.09,0.44,0.8
0.44,2.17,1.95,0.62,0.18
0.62,2.12,1.96,-0.01,-0.63
-0.01,1.96,2.11,-0.68,-0.67
-0.68,1.88,2.15,-0.17,0.51
-0.17,2.07,2,0.57,0.74
0.57,2.17,1.86,0.67,0.1
0.67,2.08,1.91,-0.11,-0.78
-0.11,1.9,2.11,-0.62,-0.51
-0.62,1.92,2.18,-0.22,0.4
-0.22,2.08,2.05,0.44,0.66
0.44,2.18,1.9,0.59,0.15
0.59,2.11,1.92,0.13,-0.46
0.13,1.96,2.05,-0.37,-0.5
-0.37,1.89,2.1,-0.11,0.26
-0.11,1.97,2.04,0.23,0.34
0.23,2.06,1.99,0.28,0.05
0.28,2.05,2,0,-0.28
0,1.98,2.04,-0.31,-0.31
-0.31,2,2.09,-0.04,0.27
-0.04,2.06,2.03,0.3,0.34
0.3,2.07,1.95,0.2,-0.1
0.2,2.04,2,-0.06,-0.26
-0.06,1.93,2,-0.18,-0.12
-0.18,1.98,2.04,-0.03,0.15
-0.03,2.03,1.97,0.01,0.04
0.01,2.04,1.92,0.05,0.04
0.05,2.03,1.91,0.1,0.05
0.1,1.97,1.87,-0.01,-0.11
-0.01,1.95,1.92,0,0.01
0,1.98,1.95,0.15,0.15
0.15,2.01,1.92,0.13,-0.02
0.13,2.02,1.96,0.04,-0.09
0.04,2.02,1.99,-0.06,-0.1
-0.06,2,1.99,-0.02,0.04
-0.02,2.04,2.01,0.18,0.2
0.18,2.07,2.03,0.23,0.05
0.23,2.08,2.02,0.02,-0.21
0.02,2,2.06,-0.16,-0.18
-0.16,2,2.09,-0.02,0.14
-0.02,2.04,2.03,0.28,0.3
0.28,2.07,1.94,0.25,-0.03
0.25,2.04,1.97,-0.05,-0.3
-0.05,1.99,2.06,-0.15,-0.1
-0.15,1.95,2.05,-0.07,0.08
-0.07,2.02,2.02,0.14,0.21
0.14,2.1,2.01,0.03,-0.11
0.03,2.08,2.05,-0.11,-0.14
-0.11,2.08,2.1,-0.03,0.08
-0.03,2.09,2.1,0.12,0.15
0.12,2.09,2.04,0.11,-0.01
0.11,2.07,2.05,0.05,-0.06
0.05,2,2.04,-0.13,-0.18
-0.13,2,2.05,0.3,0.43
0.06,0.12,0.1,-0.15,-0.21
-0.15,0.38,0.4,-0.08,0.07
-0.08,0.72,0.68,0.13,0.21
0.13,1.04,0.87,0.15,0.02
0.15,1.23,1.07,-0.08,-0.23
-0.08,1.34,1.28,-0.19,-0.11
-0.19,1.43,1.38,-0.15,0.04
-0.15,1.59,1.47,0.05,0.2
0.05,1.73,1.53,0.16,0.11
0.16,1.8,1.61,0.02,-0.14
0.02,1.82,1.71,-0.13,-0.15
-0.13,1.84,1.78,-0.11,0.02
-0.11,1.87,1.81,-0.01,0.1
-0.01,1.92,1.83,0.11,0.12
0.11,1.95,1.82,0.15,0.04
0.15,1.9,1.78,-0.03,-0.18
-0.03,1.88,1.84,-0.07,-0.04
-0.07,1.89,1.87,-0.04,0.03
-0.04,1.89,1.86,0.08,0.12
0.08,1.91,1.85,0.13,0.05
0.13,1.91,1.86,-0.05,-0.18
-0.05,1.91,1.89,-0.04,0.01
-0.04,1.93,1.91,0.13,0.17
0.13,1.96,1.89,0.19,0.06
0.19,1.99,1.89,0,-0.19
0,1.93,1.95,-0.05,-0.05
-0.05,1.94,1.98,0,0.05
0,1.96,1.99,0.09,0.09
0.09,1.98,1.99,0.15,0.06
0.15,2.01,1.99,0,-0.15
0,2.05,2.07,-0.16,-0.16
-0.16,2.02,2.06,-0.08,0.08
-0.08,2.03,2.03,0.25,0.33
0.25,2.07,1.94,0.28,0.03
0.28,2.01,1.93,0.02,-0.26
0.02,1.95,1.99,-0.21,-0.23
-0.21,1.92,2.03,-0.11,0.1
-0.11,1.98,1.98,0.22,0.33
0.22,2.04,1.93,0.26,0.04
0.26,2.01,1.94,0.2,-0.06
0.2,1.99,2.01,-0.2,-0.4
-0.2,1.95,2.09,-0.17,0.03
-0.17,2.02,2.07,0.1,0.27
0.1,2.08,2,0.3,0.2
0.3,2.12,2.02,0.13,-0.17
0.13,2.04,2.03,-0.03,-0.16
-0.03,1.99,2.09,-0.11,-0.08
-0.11,1.99,2.07,-0.01,0.1
-0.01,1.99,2.02,0.05,0.06
0.05,2.03,1.99,0.06,0.01
0.06,2.01,1.95,0.2,0.14
0.2,2.03,1.94,0.1,-0.1
0.1,1.96,1.95,-0.08,-0.18
-0.08,1.91,1.96,-0.17,-0.09
-0.17,1.95,1.97,0,0.17
0,1.96,1.92,0.25,0.25
0.25,2.03,1.89,0,-0.25
0,2.04,1.99,-0.09,-0.09
-0.09,1.97,1.98,0.01,0.1
0.01,2.02,1.96,0.11,0.1
0.11,2.03,1.97,0.09,-0.02
0.09,2.03,1.99,-0.05,-0.14
-0.05,2.04,2.04,-0.12,-0.07
-0.12,2.01,2.03,0.05,0.17
0.05,2.05,1.98,0.14,0.09
0.14,2.08,1.99,0.07,-0.07
0.07,2.06,2.03,-0.15,-0.22
-0.15,2.03,2.08,0,0.15
0,2.07,2.05,0.32,0.32
0.32,2.11,2,0.25,-0.07
0.25,2.05,2,0,-0.25
0,1.98,2.04,-0.16,-0.16
-0.16,1.94,2.03,0,0.16
0,1.98,1.96,0.07,0.07
0.07,2,1.95,0.14,0.07
0.14,1.98,1.94,-0.03,-0.17
-0.03,1.96,1.99,-0.1,-0.07
-0.1,1.93,1.97,-0.03,0.07
-0.03,1.96,1.96,0.03,0.06
0.03,1.93,1.91,0.03,0
0.03,1.89,1.89,-0.04,-0.07
-0.04,1.91,1.93,-0.1,-0.06
-0.1,1.93,1.96,0.02,0.12
-0.99,0.24,0.08,-0.2,0.79
-0.2,0.71,0.08,0.76,0.96
0.76,1.13,0.21,0.89,0.13
0.89,1.2,0.59,0.34,-0.55
0.34,1.14,1.09,-0.6,-0.94
-0.6,1.17,1.43,-0.67,-0.07
-0.67,1.36,1.5,0.31,0.98
0.31,1.67,1.44,0.83,0.52
0.83,1.79,1.5,0.42,-0.41
0.42,1.72,1.76,-0.61,-1.03
-0.61,1.59,1.96,-0.68,-0.07
-0.68,1.71,1.93,0.36,1.04
0.36,1.97,1.77,0.77,0.41
0.77,2,1.73,0.4,-0.37
0.4,1.86,1.93,-0.48,-0.88
-0.48,1.73,2.1,-0.59,-0.11
-0.59,1.8,2.04,0.1,0.69
0.1,2.02,1.91,0.76,0.66
0.76,2.14,1.87,0.36,-0.4
0.36,2.01,2.06,-0.6,-0.96
-0.6,1.89,2.26,-0.62,-0.02
-0.62,1.93,2.15,0.46,1.08
0.46,2.14,1.92,0.9,0.44
0.9,2.16,1.92,0.27,-0.63
0.27,1.96,2.13,-0.75,-1.02
-0.75,1.77,2.23,-0.71,0.04
-0.71,1.88,2.1,0.36,1.07
0.36,2.12,1.9,0.81,0.45
0.81,2.16,1.9,0.25,-0.56
0.25,1.99,2.12,-0.62,-0.87
-0.62,1.87,2.24,-0.57,0.05
-0.57,1.97,2.13,0.4,0.97
0.4,2.2,1.96,0.75,0.35
0.75,2.18,1.95,0.13,-0.62
0.13,2,2.12,-0.58,-0.71
-0.58,1.84,2.16,-0.5,0.08
-0.5,1.93,2.07,0.31,0.81
0.31,2.07,1.89,0.64,0.33
0.64,2.07,1.89,0.24,-0.4
0.24,1.94,2.03,-0.44,-0.68
-0.44,1.87,2.15,-0.58,-0.14
-0.58,1.92,2.06,0.08,0.66
0.08,2.07,1.91,0.67,0.59
0.67,2.12,1.83,0.38,-0.29
0.38,2.02,1.98,-0.45,-0.83
-0.45,1.87,2.08,-0.54,-0.09
-0.54,1.94,2.07,0.23,0.77
0.23,2.09,1.91,0.61,0.38
0.61,2.13,1.87,0.26,-0.35
0.26,2.03,2.02,-0.33,-0.59
-0.33,1.88,2.11,-0.43,-0.1
-0.43,1.94,2.09,0.21,0.64
0.21,2.12,1.97,0.6,0.39
0.6,2.13,1.96,0.16,-0.44
0.16,2.03,2.09,-0.59,-0.75
-0.59,1.94,2.21,-0.44,0.15
-0.44,1.99,2.09,0.4,0.84
0.4,2.15,1.89,0.72,0.32
0.72,2.1,1.83,0.2,-0.52
0.2,1.94,2.01,-0.52,-0.72
-0.52,1.89,2.16,-0.4,0.12
-0.4,2.02,2.09,0.33,0.73
0.33,2.17,1.91,0.63,0.3
0.63,2.16,1.91,0.26,-0.37
0.26,2.01,2.05,-0.36,-0.62
-0.36,1.9,2.16,-0.37,-0.01
-0.37,1.96,2.09,0.23,0.6
0.23,2.11,1.97,0.43,0.2
0.43,2.11,1.96,0.09,-0.34
0.09,2.01,2.04,-0.51,-0.6
-0.51,1.95,2.12,-0.3,0.21
-0.3,2.08,2.07,0.4,0.7
0.4,2.2,1.98,0.49,0.09
0.49,2.16,2.02,-0.12,-0.61
-0.12,2.03,2.2,-0.47,-0.35
-0.47,1.98,2.2,-0.22,0.25
-0.22,2.05,2.06,0.29,0.51
0.29,2.16,1.95,0.44,0.15
0.44,2.13,1.98,-0.04,-0.48
-0.04,2.04,2.12,-0.4,-0.36
-0.4,2.03,2.2,-0.16,0.24
-0.16,2.13,2.14,0.36,0.52
0.36,2.24,2.05,0.02,-0.34
-0.93,0.24,0,-0.21,0.72
-0.21,0.59,0.02,0.76,0.97
0.76,0.97,0.12,0.84,0.08
0.84,1.06,0.45,0.37,-0.47
0.37,1.05,0.92,-0.45,-0.82
-0.45,1.04,1.3,-0.56,-0.11
-0.56,1.23,1.42,-0.05,0.51
-0.05,1.48,1.37,0.68,0.73
0.68,1.69,1.44,0.53,-0.15
0.53,1.65,1.59,-0.2,-0.73
-0.2,1.6,1.87,-0.53,-0.33
-0.53,1.64,1.92,-0.14,0.39
-0.14,1.77,1.81,0.48,0.62
0.48,1.94,1.77,0.49,0.01
0.49,1.91,1.86,-0.14,-0.63
-0.14,1.81,1.99,-0.63,-0.49
-0.63,1.77,2.01,-0.28,0.35
-0.28,1.89,1.89,0.58,0.86
0.58,2.09,1.79,0.78,0.2
0.78,2.02,1.83,0.14,-0.64
0.14,1.83,1.99,-0.74,-0.88
-0.74,1.77,2.13,-0.53,0.21
-0.53,1.85,2,0.55,1.08
0.55,2.12,1.86,0.84,0.29
0.84,2.08,1.85,0.12,-0.72
0.12,1.9,2.1,-0.75,-0.87
-0.75,1.8,2.2,-0.51,0.24
-0.51,1.88,2.04,0.62,1.13
0.62,2.13,1.89,0.83,0.21
0.83,2.06,1.87,0.06,-0.77
0.06,1.87,2.12,-0.83,-0.89
-0.83,1.77,2.2,-0.67,0.16
-0.67,1.9,2.02,0.64,1.31
0.64,2.18,1.79,0.95,0.31
0.95,2.1,1.73,0.37,-0.58
0.37,1.88,2.01,-0.71,-1.08
-0.71,1.73,2.21,-0.76,-0.05
-0.76,1.82,2.08,0.26,1.02
0.26,2.12,1.87,0.83,0.57
0.83,2.15,1.81,0.39,-0.44
0.39,1.98,2.05,-0.56,-0.95
-0.56,1.85,2.22,-0.68,-0.12
-0.68,1.86,2.12,0.04,0.72
0.04,2.11,1.93,0.77,0.73
0.77,2.18,1.87,0.51,-0.26
0.51,2.05,1.97,-0.56,-1.07
-0.56,1.94,2.2,-0.66,-0.1
-0.66,1.87,2.08,0.12,0.78
0.12,2.1,1.9,0.74,0.62
0.74,2.14,1.84,0.52,-0.22
0.52,2.01,1.95,-0.36,-0.88
-0.36,1.87,2.12,-0.66,-0.3
-0.66,1.81,2.08,-0.17,0.49
-0.17,2.03,1.94,0.55,0.72
0.55,2.15,1.83,0.69,0.14
0.69,2.06,1.87,-0.13,-0.82
-0.13,1.9,2.09,-0.63,-0.5
-0.63,1.82,2.12,-0.11,0.52
-0.11,2,1.97,0.47,0.58
0.47,2.12,1.88,0.45,-0.02
0.45,2.04,1.92,-0.31,-0.76
-0.31,1.93,2.06,-0.39,-0.08
-0.39,1.94,2.05,0.33,0.72
0.33,2.09,1.96,0.64,0.31
0.64,2.1,1.93,0.31,-0.33
0.31,1.98,2.04,-0.38,-0.69
-0.38,1.86,2.11,-0.51,-0.13
-0.51,1.89,2.05,0,0.51
0,2.09,1.94,0.53,0.53
0.53,2.17,1.87,0.43,-0.1
0.43,2.08,1.96,-0.17,-0.6
-0.17,1.96,2.13,-0.53,-0.36
-0.53,1.95,2.12,-0.14,0.39
-0.14,2.1,2.04,0.43,0.57
0.43,2.18,1.95,0.44,0.01
0.44,2.12,2,-0.11,-0.55
-0.11,2.02,2.2,-0.56,-0.45
-0.56,2,2.22,-0.16,0.4
-0.16,2.12,2.1,0.46,0.62
0.46,2.17,1.96,0.47,0.01
0.47,2.1,1.99,-0.14,-0.61
-0.14,1.98,2.13,-0.31,-0.17
-0.31,1.92,2.08,-0.02,0.29
0.34,0.04,0.08,-0.3,-0.64
-0.3,0.13,0.38,-0.51,-0.21
-0.51,0.47,0.67,0.08,0.59
0.08,0.91,0.77,0.5,0.42
0.5,1.23,0.94,0.15,-0.35
0.15,1.3,1.25,-0.53,-0.68
-0.53,1.34,1.48,-0.46,0.07
-0.46,1.55,1.48,0.39,0.85
0.39,1.84,1.41,0.69,0.3
0.69,1.89,1.51,-0.18,-0.87
-0.18,1.72,1.79,-0.81,-0.63
-0.81,1.67,1.91,-0.15,0.66
-0.15,1.9,1.73,0.75,0.9
0.75,2.1,1.6,0.55,-0.2
0.55,1.94,1.84,-0.66,-1.21
-0.66,1.73,2.11,-0.85,-0.19
-0.85,1.82,2.01,0.6,1.45
0.6,2.22,1.73,0.91,0.31
0.91,2.2,1.74,0.09,-0.82
0.09,1.88,2.09,-1.05,-1.14
-1.05,1.7,2.28,-0.66,0.39
-0.66,1.98,2.02,0.91,1.57
0.91,2.34,1.7,1.05,0.14
1.05,2.18,1.76,-0.51,-1.56
-0.51,1.78,2.19,-1.02,-0.51
-1.02,1.76,2.19,0.27,1.29
0.27,2.13,1.83,1.01,0.74
1.01,2.25,1.74,0.47,-0.54
0.47,1.94,2.02,-0.95,-1.42
-0.95,1.69,2.33,-0.87,0.08
-0.87,1.91,2.13,0.87,1.74
0.87,2.37,1.74,1.17,0.3
1.17,2.26,1.75,-0.22,-1.39
-0.22,1.82,2.2,-1.04,-0.82
-1.04,1.72,2.32,-0.34,0.7
-0.34,2.08,2,1.03,1.37
1.03,2.34,1.76,0.94,-0.09
0.94,2.13,1.91,-0.75,-1.69
-0.75,1.73,2.31,-1.02,-0.27
-1.02,1.78,2.22,0.34,1.36
0.34,2.18,1.84,1.1,0.76
1.1,2.23,1.67,0.63,-0.47
0.63,1.92,1.9,-0.89,-1.52
-0.89,1.64,2.22,-0.92,-0.03
-0.92,1.79,2.05,0.58,1.5
0.58,2.19,1.72,1.01,0.43
1.01,2.19,1.7,0.27,-0.74
0.27,1.85,2,-0.92,-1.19
-0.92,1.64,2.26,-0.73,0.19
-0.73,1.9,2.07,0.92,1.65
0.92,2.34,1.73,1,0.08
1,2.19,1.79,-0.16,-1.16
-0.16,1.79,2.17,-1.02,-0.86
-1.02,1.71,2.3,-0.63,0.39
-0.63,1.99,1.98,0.99,1.62
0.99,2.37,1.66,1.03,0.04
1.03,2.2,1.77,-0.47,-1.5
-0.47,1.78,2.18,-1.01,-0.54
-1.01,1.7,2.2,-0.14,0.87
-0.14,2,1.84,1.01,1.15
1.01,2.22,1.61,0.79,-0.22
0.79,2,1.83,-0.86,-1.65
-0.86,1.66,2.22,-1.01,-0.15
-1.01,1.81,2.12,0.48,1.49
0.48,2.21,1.74,1.06,0.58
1.06,2.24,1.67,0.32,-0.74
0.32,1.92,2.01,-0.95,-1.27
-0.95,1.69,2.25,-0.72,0.23
-0.72,1.93,2.04,0.95,1.67
0.95,2.33,1.67,1.1,0.15
1.1,2.2,1.74,0.02,-1.08
0.02,1.78,2.11,-1,-1.02
-1,1.69,2.33,-0.57,0.43
-0.57,1.95,2.02,0.83,1.4
0.83,2.26,1.72,0.92,0.09
0.92,2.13,1.79,-0.24,-1.16
-0.24,1.76,2.12,-0.98,-0.74
-0.98,1.73,2.25,-0.27,0.71
-0.27,2.04,1.94,0.91,1.18
0.91,2.27,1.73,0.77,-0.14
0.77,2.08,1.91,-0.62,-1.39
-0.62,1.76,2.25,-0.95,-0.33
-0.95,1.81,2.2,0.06,1.01
0.53,0.05,0.55,-0.85,-1.38
-0.85,0.1,1.06,-0.93,-0.08
-0.93,0.58,1.15,0.35,1.28
0.35,1.25,1,0.98,0.63
0.98,1.52,1.06,0.43,-0.55
0.43,1.37,1.45,-0.97,-1.4
-0.97,1.24,1.84,-1,-0.03
-1,1.47,1.71,0.76,1.76
0.76,2,1.39,1.09,0.33
1.09,2.02,1.45,0.18,-0.91
0.18,1.67,1.86,-1.03,-1.21
-1.03,1.54,2.13,-0.93,0.1
-0.93,1.77,1.94,0.56,1.49
0.56,2.16,1.55,1.02,0.46
1.02,2.19,1.6,0.16,-0.86
0.16,1.87,2.02,-0.99,-1.15
-0.99,1.67,2.22,-0.81,0.18
-0.81,1.86,1.99,0.74,1.55
0.74,2.27,1.68,1.1,0.36
1.1,2.19,1.66,0.15,-0.95
0.15,1.82,1.99,-1.02,-1.17
-1.02,1.61,2.17,-0.8,0.22
-0.8,1.79,1.94,0.86,1.66
0.86,2.15,1.57,1.13,0.27
1.13,2.08,1.62,0.07,-1.06
0.07,1.69,1.97,-1.14,-1.21
-1.14,1.45,2.14,-0.86,0.28
-0.86,1.68,1.91,0.78,1.64
0.78,2.06,1.55,1.14,0.36
1.14,2.05,1.56,0.39,-0.75
0.39,1.68,1.89,-1.07,-1.46
-1.07,1.48,2.19,-1.08,-0.01
-1.08,1.61,1.99,0.45,1.53
0.45,2.01,1.59,1.15,0.7
1.15,2.1,1.57,0.6,-0.55
0.6,1.78,1.82,-1.02,-1.62
-1.02,1.53,2.2,-1.07,-0.05
-1.07,1.66,2.04,0.48,1.55
0.48,2.09,1.63,1.06,0.58
1.06,2.13,1.58,0.51,-0.55
0.51,1.83,1.87,-1,-1.51
-1,1.54,2.19,-0.98,0.02
-0.98,1.69,2.01,0.29,1.27
0.29,2.05,1.67,1.01,0.72
1.01,2.16,1.58,0.57,-0.44
0.57,1.87,1.82,-1.01,-1.58
-1.01,1.6,2.18,-1.1,-0.09
-1.1,1.72,2,0.64,1.74
0.64,2.13,1.6,1.1,0.46
1.1,2.15,1.64,0.41,-0.69
0.41,1.82,1.93,-1.04,-1.45
-1.04,1.59,2.27,-0.92,0.12
-0.92,1.82,2.07,0.59,1.51
0.59,2.13,1.66,1.08,0.49
1.08,2.13,1.61,0.37,-0.71
0.37,1.78,1.89,-1.01,-1.38
-1.01,1.58,2.21,-0.92,0.09
-0.92,1.81,2.01,0.69,1.61
0.69,2.21,1.63,1.05,0.36
1.05,2.18,1.66,0.14,-0.91
0.14,1.83,2.03,-0.94,-1.08
-0.94,1.68,2.2,-0.62,0.32
-0.62,1.89,1.96,0.88,1.5
0.88,2.23,1.67,1.1,0.22
1.1,2.12,1.74,-0.04,-1.14
-0.04,1.74,2.09,-1.05,-1.01
-1.05,1.61,2.23,-0.59,0.46
-0.59,1.91,1.96,0.81,1.4
0.81,2.21,1.65,1.01,0.2
1.01,2.07,1.7,-0.08,-1.09
-0.08,1.73,2.04,-1.05,-0.97
-1.05,1.63,2.21,-0.43,0.62
-0.43,1.92,1.91,0.91,1.34
0.91,2.24,1.63,0.92,0.01
0.92,2.09,1.78,-0.52,-1.44
-0.52,1.71,2.19,-1.01,-0.49
-1.01,1.77,2.23,0.07,1.08
0.07,2.16,1.88,0.99,0.92
0.99,2.3,1.77,0.58,-0.41
0.58,2.04,2.03,-0.82,-1.4
-0.82,1.75,2.33,-0.9,-0.08
-0.9,1.86,2.18,0.43,1.33
0.43,2.23,1.82,0.96,0.53
-0.13,0.32,0.2,0.54,0.67
0.54,0.74,0.34,0.5,-0.04
0.5,0.89,0.75,-0.41,-0.91
-0.41,0.95,1.2,-0.7,-0.29
-0.7,1.18,1.36,0.42,1.12
0.42,1.58,1.27,0.91,0.49
0.91,1.69,1.28,0.21,-0.7
0.21,1.51,1.66,-0.87,-1.08
-0.87,1.41,1.95,-0.79,0.08
-0.79,1.69,1.84,0.78,1.57
0.78,2.13,1.55,0.99,0.21
0.99,2.08,1.68,-0.38,-1.37
-0.38,1.73,2.12,-0.99,-0.61
-0.99,1.68,2.18,-0.09,0.9
-0.09,2.03,1.88,0.97,1.06
0.97,2.24,1.69,0.74,-0.23
0.74,2.03,1.95,-0.95,-1.69
-0.95,1.73,2.34,-1.09,-0.14
-1.09,1.8,2.19,0.7,1.79
0.7,2.3,1.79,1.18,0.48
1.18,2.28,1.75,0.15,-1.03
0.15,1.86,2.2,-1.1,-1.25
-1.1,1.71,2.38,-0.81,0.29
-0.81,1.91,2.11,0.95,1.76
0.95,2.39,1.75,1.2,0.25
1.2,2.25,1.72,0.28,-0.92
0.28,1.82,2.13,-1.04,-1.32
-1.04,1.62,2.37,-0.98,0.06
-0.98,1.77,2.15,0.74,1.72
0.74,2.26,1.74,1.13,0.39
1.13,2.19,1.71,0.08,-1.05
0.08,1.81,2.11,-1.05,-1.13
-1.05,1.67,2.29,-0.67,0.38
-0.67,1.87,2.03,0.92,1.59
0.92,2.3,1.7,1.12,0.2
1.12,2.16,1.72,-0.13,-1.25
-0.13,1.75,2.16,-1.09,-0.96
-1.09,1.62,2.31,-0.7,0.39
-0.7,1.87,2.01,0.88,1.58
0.88,2.3,1.68,1.06,0.18
1.06,2.16,1.71,-0.02,-1.08
-0.02,1.77,2.07,-1.07,-1.05
-1.07,1.59,2.19,-0.71,0.36
-0.71,1.86,1.93,1.09,1.8
1.09,2.3,1.61,1.09,0
1.09,2.12,1.69,-0.2,-1.29
-0.2,1.74,2.11,-1.07,-0.87
-1.07,1.61,2.23,-0.61,0.46
-0.61,1.87,1.92,0.96,1.57
0.96,2.28,1.6,1.12,0.16
1.12,2.1,1.68,-0.37,-1.49
-0.37,1.7,2.16,-1.05,-0.68
-1.05,1.66,2.23,-0.31,0.74
-0.31,1.97,1.9,1.09,1.4
1.09,2.29,1.64,1.01,-0.08
1.01,2.06,1.81,-0.71,-1.72
-0.71,1.64,2.25,-1.07,-0.36
-1.07,1.68,2.2,-0.06,1.01
-0.06,2,1.8,1.07,1.13
1.07,2.18,1.6,0.9,-0.17
0.9,1.94,1.7,-0.55,-1.45
-0.55,1.62,2.1,-1.04,-0.49
-1.04,1.61,2.1,-0.21,0.83
-0.21,1.95,1.76,1.02,1.23
1.02,2.22,1.59,0.83,-0.19
0.83,2.02,1.75,-0.7,-1.53
