要分析的学习器类型: ensemble, gp, net, svm, tree
总迭代次数 (MaxObjectiveEvaluations): 150
总时间 (MaxTime): Inf

|================================================================================================================================================|
| Iter | Eval   | log(1+valLoss)| Time for training | Observed min    | Estimated min   | Learner      | Hyperparameter:                 Value   |
|      |        |               |                   |                 |                 |              | LayerSizes:           [ 297   41    2 ] |
|  120 | Accept |      0.079731 |            102.72 |        0.072084 |         0.07217 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      1.3471e-09 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 272    3 ] |
|================================================================================================================================================|
| Iter | Eval   | log(1+valLoss)| Time for training | Observed min    | Estimated min   | Learner      | Hyperparameter:                 Value   |
|      | result |               | & validation (sec)| validation loss | validation loss |              |                                         |
|================================================================================================================================================|
|  121 | Accept |      0.093712 |             166.2 |        0.072084 |         0.07217 |          net | Activations:                       tanh |
|      |        |               |                   |                 |                 |              | Standardize:                      false |
|      |        |               |                   |                 |                 |              | Lambda:                      6.9827e-06 |
|      |        |               |                   |                 |                 |              | LayerSizes:            [ 25    8  261 ] |
|  122 | Accept |      0.078612 |            273.97 |        0.072084 |         0.07217 |          net | Activations:                       tanh |
|      |        |               |                   |                 |                 |              | Standardize:                      false |
|      |        |               |                   |                 |                 |              | Lambda:                      6.2879e-08 |
|      |        |               |                   |                 |                 |              | LayerSizes:           [ 288   54   51 ] |
|  123 | Accept |       0.14379 |            4.4236 |        0.072084 |         0.07217 |          net | Activations:                       tanh |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      4.3727e-06 |
|      |        |               |                   |                 |                 |              | LayerSizes:                    [ 1  2 ] |
|  124 | Accept |      0.091248 |            169.01 |        0.072084 |         0.07217 |          net | Activations:                    sigmoid |
|      |        |               |                   |                 |                 |              | Standardize:                      false |
|      |        |               |                   |                 |                 |              | Lambda:                      1.7315e-09 |
|      |        |               |                   |                 |                 |              | LayerSizes:           [ 294   16    4 ] |
|  125 | Accept |      0.077101 |            104.62 |        0.072084 |         0.07217 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      2.1439e-08 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 279    3 ] |
|  126 | Accept |      0.076182 |            91.895 |        0.072084 |         0.07217 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      2.9612e-09 |
|      |        |               |                   |                 |                 |              | LayerSizes:                         276 |
|  127 | Accept |      0.088452 |            216.59 |        0.072084 |         0.07217 |          net | Activations:                       tanh |
|      |        |               |                   |                 |                 |              | Standardize:                      false |
|      |        |               |                   |                 |                 |              | Lambda:                      5.4118e-07 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 112  177 ] |
|  128 | Accept |      0.087249 |            177.47 |        0.072084 |         0.07217 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      3.5766e-09 |
|      |        |               |                   |                 |                 |              | LayerSizes:           [ 233    2  282 ] |
|  129 | Accept |       0.10239 |            142.37 |        0.072084 |         0.07217 |          net | Activations:                    sigmoid |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      1.5418e-09 |
|      |        |               |                   |                 |                 |              | LayerSizes:                         297 |
|  130 | Accept |      0.092666 |            194.68 |        0.072084 |         0.07217 |          net | Activations:                    sigmoid |
|      |        |               |                   |                 |                 |              | Standardize:                      false |
|      |        |               |                   |                 |                 |              | Lambda:                       6.463e-08 |
|      |        |               |                   |                 |                 |              | LayerSizes:           [ 270   23   38 ] |
|  131 | Accept |       0.07492 |            96.915 |        0.072084 |         0.07217 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      1.5317e-09 |
|      |        |               |                   |                 |                 |              | LayerSizes:                         285 |
|  132 | Accept |      0.076871 |            80.109 |        0.072084 |         0.07217 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      1.9503e-06 |
|      |        |               |                   |                 |                 |              | LayerSizes:                         232 |
|  133 | Accept |       0.10148 |             91.99 |        0.072084 |         0.07217 |          net | Activations:                    sigmoid |
|      |        |               |                   |                 |                 |              | Standardize:                      false |
|      |        |               |                   |                 |                 |              | Lambda:                      5.2749e-07 |
|      |        |               |                   |                 |                 |              | LayerSizes:                 [ 35  116 ] |
|  134 | Accept |       0.36117 |            1.3135 |        0.072084 |         0.07217 |          net | Activations:                       none |
|      |        |               |                   |                 |                 |              | Standardize:                      false |
|      |        |               |                   |                 |                 |              | Lambda:                          8.0573 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 260   81 ] |
|  135 | Accept |      0.075892 |            200.58 |        0.072084 |         0.07217 |          net | Activations:                       tanh |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      1.1073e-05 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 297   31 ] |
|  136 | Accept |      0.079981 |            352.27 |        0.072084 |         0.07217 |          net | Activations:                       tanh |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      4.3283e-07 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 258  212 ] |
|  137 | Accept |      0.087456 |            84.858 |        0.072084 |         0.07217 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                      false |
|      |        |               |                   |                 |                 |              | Lambda:                      2.3881e-09 |
|      |        |               |                   |                 |                 |              | LayerSizes:            [ 48   19  144 ] |
|  138 | Accept |       0.10007 |            196.79 |        0.072084 |         0.07217 |          net | Activations:                    sigmoid |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      2.0588e-08 |
|      |        |               |                   |                 |                 |              | LayerSizes:                 [ 49  280 ] |
|  139 | Accept |       0.15398 |            137.54 |        0.072084 |         0.07217 |          net | Activations:                    sigmoid |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                       0.0001342 |
|      |        |               |                   |                 |                 |              | LayerSizes:             [ 1  207   34 ] |
|  140 | Accept |      0.076425 |            82.588 |        0.072084 |         0.07217 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      1.9166e-07 |
|      |        |               |                   |                 |                 |              | LayerSizes:                         238 |
|================================================================================================================================================|
| Iter | Eval   | log(1+valLoss)| Time for training | Observed min    | Estimated min   | Learner      | Hyperparameter:                 Value   |
|      | result |               | & validation (sec)| validation loss | validation loss |              |                                         |
|================================================================================================================================================|
|  141 | Accept |      0.076947 |            342.43 |        0.072084 |         0.07217 |          net | Activations:                       tanh |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      9.8664e-06 |
|      |        |               |                   |                 |                 |              | LayerSizes:           [ 172   98  235 ] |
|  142 | Best   |      0.067697 |             143.1 |        0.067697 |        0.067793 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                       1.094e-06 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 284   57 ] |
|  143 | Accept |      0.076161 |            208.24 |        0.067697 |        0.067775 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                       0.0011116 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 295  137 ] |
|  144 | Accept |      0.076086 |            140.05 |        0.067697 |        0.067836 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      5.9306e-05 |
|      |        |               |                   |                 |                 |              | LayerSizes:           [ 283   49    2 ] |
|  145 | Best   |      0.067301 |            164.99 |        0.067301 |        0.067409 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      3.1726e-07 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 294   82 ] |
|  146 | Best   |      0.065639 |            282.59 |        0.065639 |        0.065661 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      2.1684e-06 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 283  236 ] |
|  147 | Accept |      0.067456 |            170.45 |        0.065639 |        0.065672 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      2.1006e-06 |
|      |        |               |                   |                 |                 |              | LayerSizes:           [ 283   78   23 ] |
|  148 | Accept |       0.36118 |            1.0679 |        0.065639 |        0.065692 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                          8.4069 |
|      |        |               |                   |                 |                 |              | LayerSizes:                         287 |
|  149 | Accept |      0.069016 |            141.59 |        0.065639 |        0.065649 |          net | Activations:                       relu |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      4.5012e-06 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 285   53 ] |
|  150 | Accept |      0.089967 |            427.91 |        0.065639 |        0.065636 |          net | Activations:                       tanh |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      0.00026635 |
|      |        |               |                   |                 |                 |              | LayerSizes:           [ 295  253    1 ] |

__________________________________________________________
优化完成。
总迭代次数: 150
总历时: 13139.1826 秒
训练和验证总时间: 13007.7439 秒

最佳观测学习器是一个 net 模型，它具有:
	Learner:                   net
	Activations:              relu
	Standardize:              true
	Lambda:             2.1684e-06
	LayerSizes:         [283  236]
观测 log(1 + valLoss): 0.065639
训练和验证时间: 282.5902 秒

最佳估计学习器(返回的模型)是 net 模型，它具有:
	Learner:                   net
	Activations:              relu
	Standardize:              true
	Lambda:             2.1684e-06
	LayerSizes:         [283  236]
估计 log(1 + valLoss): 0.065636
估计训练和验证时间: 282.0227 秒
